restaurant_id,rest_type
678,Takeaway
678,Delivery
679,Quick Bites
680,Quick Bites
681,Takeaway
681,Delivery
682,Quick Bites
683,Quick Bites
684,Quick Bites
685,Quick Bites
686,Casual Dining
687,Quick Bites
688,Quick Bites
689,Cafe
690,Quick Bites
691,Quick Bites
692,Delivery
693,Casual Dining
694,Dessert Parlor
695,Quick Bites
696,Quick Bites
697,Quick Bites
698,Dessert Parlor
699,Casual Dining
700,Takeaway
700,Delivery
701,Takeaway
701,Delivery
702,Quick Bites
703,Delivery
704,Takeaway
704,Delivery
705,Casual Dining
706,Food Court
707,Quick Bites
708,Quick Bites
709,Quick Bites
710,Quick Bites
711,Quick Bites
712,Kiosk
713,Quick Bites
714,Takeaway
714,Delivery
715,Takeaway
715,Delivery
716,Takeaway
716,Delivery
717,Quick Bites
718,Takeaway
718,Delivery
719,Quick Bites
720,Quick Bites
721,Takeaway
721,Delivery
722,Takeaway
722,Delivery
723,Takeaway
723,Delivery
724,Quick Bites
725,Takeaway
725,Delivery
726,Quick Bites
727,Quick Bites
728,Quick Bites
729,Casual Dining
730,Casual Dining
731,Casual Dining
732,Casual Dining
733,Quick Bites
734,
735,Casual Dining
736,Dhaba
737,Quick Bites
738,Takeaway
738,Delivery
739,Quick Bites
740,Takeaway
740,Delivery
741,Delivery
742,Quick Bites
743,Quick Bites
744,Quick Bites
745,Takeaway
745,Delivery
746,Casual Dining
747,Quick Bites
748,Quick Bites
749,Casual Dining
750,Quick Bites
751,Quick Bites
752,Quick Bites
753,Takeaway
753,Delivery
754,Quick Bites
755,Quick Bites
756,Quick Bites
757,Casual Dining
758,Casual Dining
759,Quick Bites
760,Casual Dining
761,Quick Bites
762,Casual Dining
763,Takeaway
763,Delivery
764,Quick Bites
765,Quick Bites
766,Casual Dining
767,Casual Dining
768,Casual Dining
769,Beverage Shop
770,Quick Bites
771,Quick Bites
772,Casual Dining
773,Cafe
774,Quick Bites
775,Quick Bites
776,Casual Dining
777,Casual Dining
778,Dessert Parlor
779,Quick Bites
780,Quick Bites
781,Casual Dining
782,Bakery
783,Delivery
784,Casual Dining
785,Delivery
786,Quick Bites
787,Takeaway
787,Delivery
788,Dessert Parlor
789,Delivery
790,Quick Bites
791,Delivery
792,Quick Bites
793,Dessert Parlor
794,Quick Bites
795,Quick Bites
796,Quick Bites
797,Quick Bites
798,Quick Bites
799,Casual Dining
800,Pub
800,Casual Dining
801,Casual Dining
802,Quick Bites
803,Sweet Shop
804,Delivery
805,Delivery
806,Quick Bites
807,Casual Dining
808,Takeaway
808,Delivery
809,Casual Dining
810,Delivery
811,Casual Dining
811,Bar
812,Casual Dining
813,Quick Bites
814,Casual Dining
815,Quick Bites
816,Bakery
817,Casual Dining
818,Takeaway
818,Delivery
819,Quick Bites
820,Quick Bites
821,Takeaway
821,Delivery
822,Takeaway
822,Delivery
823,Quick Bites
824,Delivery
825,Dessert Parlor
826,Beverage Shop
827,Casual Dining
828,Quick Bites
829,Quick Bites
830,Quick Bites
831,Casual Dining
832,Beverage Shop
833,Quick Bites
834,Dessert Parlor
834,Beverage Shop
835,Delivery
836,Quick Bites
837,Delivery
838,Quick Bites
839,Quick Bites
840,Quick Bites
841,Quick Bites
842,Casual Dining
843,Delivery
844,Casual Dining
845,Quick Bites
846,Quick Bites
847,Quick Bites
848,Quick Bites
849,Quick Bites
850,Quick Bites
851,Quick Bites
852,Quick Bites
853,Quick Bites
854,Quick Bites
855,Takeaway
855,Delivery
856,Beverage Shop
856,Dessert Parlor
857,Quick Bites
858,Quick Bites
859,Delivery
860,Takeaway
861,Casual Dining
862,Quick Bites
863,Delivery
864,Delivery
865,Casual Dining
865,Bar
866,Kiosk
867,Quick Bites
868,Quick Bites
868,Sweet Shop
869,Delivery
870,Quick Bites
871,Beverage Shop
872,Casual Dining
872,Bar
873,Quick Bites
874,Delivery
875,Quick Bites
876,Dessert Parlor
877,Quick Bites
878,Casual Dining
879,Microbrewery
880,Quick Bites
881,Quick Bites
882,Casual Dining
883,Quick Bites
884,Quick Bites
885,Quick Bites
886,Takeaway
886,Delivery
887,Cafe
888,Quick Bites
889,Casual Dining
890,Sweet Shop
890,Quick Bites
891,Delivery
892,Quick Bites
893,Casual Dining
894,Quick Bites
895,Quick Bites
896,Takeaway
897,Bakery
897,Quick Bites
898,Casual Dining
899,Casual Dining
900,Quick Bites
901,Quick Bites
902,Takeaway
902,Delivery
903,Quick Bites
904,Quick Bites
905,Quick Bites
906,Casual Dining
907,Quick Bites
908,Delivery
909,Casual Dining
910,Quick Bites
911,Delivery
912,Beverage Shop
912,Quick Bites
913,Cafe
914,Quick Bites
915,Casual Dining
916,Casual Dining
917,Quick Bites
918,Casual Dining
919,Casual Dining
920,Casual Dining
921,Bakery
922,Quick Bites
923,Quick Bites
924,Quick Bites
925,Food Court
926,Quick Bites
927,Quick Bites
928,Casual Dining
928,Cafe
929,Quick Bites
930,Casual Dining
931,Food Court
932,Takeaway
932,Delivery
933,Takeaway
933,Delivery
934,Quick Bites
935,Casual Dining
936,Quick Bites
937,Casual Dining
937,Bar
938,Delivery
939,Quick Bites
940,Quick Bites
941,Quick Bites
942,Quick Bites
943,Delivery
944,Beverage Shop
945,Delivery
946,Casual Dining
947,Takeaway
948,Dessert Parlor
949,Quick Bites
950,Casual Dining
951,Quick Bites
952,Delivery
953,Dessert Parlor
954,Quick Bites
955,Casual Dining
956,Casual Dining
957,Quick Bites
958,Casual Dining
959,Casual Dining
960,Casual Dining
961,Quick Bites
962,Delivery
963,Casual Dining
964,Casual Dining
965,Quick Bites
966,Casual Dining
967,Quick Bites
968,Quick Bites
969,Dessert Parlor
969,Beverage Shop
970,Delivery
971,Delivery
972,Quick Bites
973,Casual Dining
973,Bar
974,Quick Bites
975,Quick Bites
976,Quick Bites
977,Quick Bites
978,Takeaway
978,Delivery
979,Takeaway
979,Delivery
980,Dessert Parlor
981,Quick Bites
982,Quick Bites
983,Casual Dining
984,Food Court
984,Quick Bites
985,Quick Bites
986,Cafe
987,Beverage Shop
987,Quick Bites
988,Quick Bites
989,Delivery
990,Casual Dining
991,Quick Bites
991,Dessert Parlor
992,Quick Bites
993,Quick Bites
994,Casual Dining
995,Dessert Parlor
996,Quick Bites
997,Delivery
998,Kiosk
999,Quick Bites
1000,Beverage Shop
1001,Dessert Parlor
1002,Food Court
1003,Casual Dining
1004,Cafe
1004,Bakery
1005,Bakery
1006,Beverage Shop
1007,Kiosk
1008,Quick Bites
1009,Quick Bites
1010,Dessert Parlor
1011,Food Court
1012,Quick Bites
1013,Takeaway
1013,Delivery
1014,Quick Bites
1015,Quick Bites
1016,Dessert Parlor
1017,Casual Dining
1018,Quick Bites
1018,Beverage Shop
1019,Quick Bites
1020,Bakery
1021,
1022,Delivery
1023,Quick Bites
1024,Delivery
1025,Casual Dining
1026,Casual Dining
1027,Dessert Parlor
1028,Quick Bites
1029,Beverage Shop
1029,Quick Bites
1030,Quick Bites
1031,Quick Bites
1032,Quick Bites
1033,Quick Bites
1034,Quick Bites
1035,Food Court
1036,Casual Dining
1037,Casual Dining
1038,Quick Bites
1039,Casual Dining
1040,Delivery
1041,Quick Bites
1042,Quick Bites
1043,Quick Bites
1044,Casual Dining
1045,Quick Bites
1046,Dessert Parlor
1047,Sweet Shop
1047,Quick Bites
1048,Dessert Parlor
1049,Beverage Shop
1050,Quick Bites
1051,Beverage Shop
1052,Delivery
1053,Food Court
1054,Beverage Shop
1055,Takeaway
1056,Casual Dining
1057,Sweet Shop
1058,Dessert Parlor
1059,Takeaway
1059,Delivery
1060,Quick Bites
1061,Casual Dining
1062,Takeaway
1062,Delivery
1063,Kiosk
1064,Delivery
1065,Dessert Parlor
1066,Casual Dining
1067,Delivery
1068,Beverage Shop
1069,Beverage Shop
1070,Quick Bites
1071,Quick Bites
1072,Quick Bites
1073,Takeaway
1073,Delivery
1074,Quick Bites
1075,Quick Bites
1076,Dessert Parlor
1077,Quick Bites
1078,Food Truck
1079,Quick Bites
1080,Quick Bites
1081,Quick Bites
1082,Quick Bites
1083,Sweet Shop
1084,Pub
1084,Bar
1085,Quick Bites
1086,Quick Bites
1087,Beverage Shop
1088,Bakery
1088,Quick Bites
1089,Beverage Shop
1090,Quick Bites
1091,Casual Dining
1091,Bar
1092,Delivery
1093,Quick Bites
1094,Quick Bites
1095,
1096,Beverage Shop
1096,Quick Bites
1097,Kiosk
1098,Cafe
1099,Quick Bites
1099,Beverage Shop
1100,Casual Dining
1101,Dessert Parlor
1102,Quick Bites
1103,Beverage Shop
1104,Sweet Shop
1105,Casual Dining
1106,Quick Bites
1107,Quick Bites
1108,Quick Bites
1109,Quick Bites
1110,Quick Bites
1111,Casual Dining
1112,Casual Dining
1113,Takeaway
1113,Delivery
1114,Dessert Parlor
1115,Casual Dining
1116,Takeaway
1116,Delivery
1117,Casual Dining
1117,Pub
1118,Beverage Shop
1119,Quick Bites
1120,Quick Bites
1121,Quick Bites
1122,Food Court
1123,Casual Dining
1124,Dessert Parlor
1125,Quick Bites
1126,Food Truck
1127,Casual Dining
1128,Cafe
1129,Cafe
1129,Quick Bites
1130,Takeaway
1130,Delivery
1131,Quick Bites
1132,Quick Bites
1133,Takeaway
1134,Quick Bites
1135,Quick Bites
1136,Delivery
1137,Takeaway
1137,Delivery
1138,Quick Bites
1139,Takeaway
1140,Quick Bites
1141,Casual Dining
1142,Dessert Parlor
1143,Delivery
1144,Quick Bites
